Symptoms,Disease
"muscle weakness, stiff neck, swelling joints, painful walking",GERD
"fatigue, cramps, bruising, obesity, swollen blood vessels, prominent veins on calf,",Hepatitis C
"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Allergy
"itching, stomach pain, burning micturition, spotting  urination",Common Cold
"stiff neck, swelling joints, movement stiffness, painful walking",Hepatitis D
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Dimorphic hemmorhoids(piles)
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Gastroenteritis
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"muscle wasting, high fever, extra marital contacts,",Diabetes
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Allergy
"chest pain, dizziness, loss of balance, lack of concentration",Malaria
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Heart attack
"skin rash, blackheads, scurring,","Chronic cholestasis,"
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Allergy
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Arthritis
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Fungal infection
"itching, skin rash, stomach pain, burning micturition",Pneumonia
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Hypothyroidism
"joint pain, vomiting, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes,",Chicken pox
"vomiting, breathlessness, sweating,",Paralysis (brain hemorrhage)
"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Dengue
"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Common Cold
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Osteoarthristis
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Dimorphic hemmorhoids(piles)
"continuous sneezing, shivering, chills,",Common Cold
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Peptic ulcer diseae
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Tuberculosis
"itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Varicose veins
"vomiting, headache, nausea, loss of balance, unsteadiness",Peptic ulcer diseae
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Cervical spondylosis
"constipation, pain during bowel movements, bloody stool, irritation in anus",Cervical spondylosis
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",(vertigo) Paroymsal  Positional Vertigo
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Dimorphic hemmorhoids(piles)
"vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain","Chronic cholestasis,"
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Diabetes
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Gastroenteritis
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Allergy
"chills, fatigue, cough, high fever, breathlessness, sweating, malaise, chest pain, fast heart rate, rusty sputum,",Malaria
"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine",Hepatitis D
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Arthritis
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Peptic ulcer diseae
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Heart attack
"vomiting, sweating, chest pain,",Heart attack
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Allergy
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Chicken pox
"fatigue, yellowish skin, loss of appetite, yellowing of eyes, family history",AIDS
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Allergy
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Varicose veins
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Heart attack
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",hepatitis A
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Hypoglycemia
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Hypothyroidism
"skin rash, pus filled pimples, scurring,",(vertigo) Paroymsal  Positional Vertigo
"breathlessness, sweating, chest pain,",Common Cold
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"joint pain, neck pain, knee pain, hip joint pain, swelling joints",Cervical spondylosis
"itching, skin rash, dischromic  patches,",Heart attack
"itching, nodal skin eruptions, dischromic  patches,",Alcoholic hepatitis
"continuous sneezing, shivering, watering from eyes,",Fungal infection
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Chicken pox
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Gastroenteritis
"itching, skin rash, stomach pain, spotting  urination",Alcoholic hepatitis
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",hepatitis A
"muscle weakness, stiff neck, swelling joints, movement stiffness",Hepatitis B
"joint pain, neck pain, knee pain, swelling joints, painful walking",Acne
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Hepatitis C
"itching, skin rash, stomach pain, spotting  urination",Bronchial Asthma
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Alcoholic hepatitis
"itching, skin rash, burning micturition, spotting  urination",Allergy
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis C
"itching, skin rash, burning micturition, spotting  urination",Hepatitis C
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Diabetes
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",(vertigo) Paroymsal  Positional Vertigo
"vomiting, headache, nausea, spinning movements, loss of balance",hepatitis A
"patches in throat, high fever, extra marital contacts,",hepatitis A
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",AIDS
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Dengue
"shivering, chills, watering from eyes,",Fungal infection
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hypothyroidism
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Peptic ulcer diseae
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Hepatitis B
"itching, skin rash, dischromic  patches,",Osteoarthristis
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Dengue
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Peptic ulcer diseae
"itching, skin rash, stomach pain, burning micturition",Jaundice
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Gastroenteritis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Jaundice
"continuous sneezing, shivering, watering from eyes,",Urinary tract infection
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Cervical spondylosis
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding,",Dengue
"itching, skin rash, stomach pain, spotting  urination",Bronchial Asthma
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Jaundice
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Osteoarthristis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Alcoholic hepatitis
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Varicose veins
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Heart attack
"muscle wasting, patches in throat, high fever, extra marital contacts",Chicken pox
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Migraine
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Migraine
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Psoriasis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Typhoid
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypothyroidism
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Cervical spondylosis
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Cervical spondylosis
"skin rash, stomach pain, burning micturition, spotting  urination",Hypothyroidism
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",GERD
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Paralysis (brain hemorrhage)
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Osteoarthristis
"patches in throat, high fever, extra marital contacts,",Hypertension
"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Common Cold
"itching, skin rash, dischromic  patches,",Hepatitis D
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Alcoholic hepatitis
"headache, chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Varicose veins
"headache, dizziness, loss of balance, lack of concentration","Chronic cholestasis,"
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Hypothyroidism
"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Typhoid
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Common Cold
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Hepatitis B
"vomiting, headache, spinning movements, loss of balance, unsteadiness",Hepatitis E
"vomiting, headache, nausea, spinning movements, unsteadiness",Alcoholic hepatitis
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Malaria
"fatigue, yellowish skin, nausea, loss of appetite, family history",GERD
"joint pain, neck pain, knee pain, hip joint pain, painful walking",Hypothyroidism
"vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,",Urinary tract infection
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Allergy
"vomiting, headache, nausea, spinning movements, unsteadiness",Osteoarthristis
"vomiting, sweating, chest pain,",Psoriasis
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Varicose veins
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Urinary tract infection
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Hepatitis B
"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Peptic ulcer diseae
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Dimorphic hemmorhoids(piles)
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Impetigo
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Dengue
"pus filled pimples, blackheads, scurring,",Psoriasis
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Acne
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Fungal infection
"itching, nodal skin eruptions, dischromic  patches,",Diabetes
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Typhoid
"itching, skin rash, stomach pain, spotting  urination",Impetigo
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",AIDS
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Acne
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Alcoholic hepatitis
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Jaundice
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis C
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Heart attack
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Cervical spondylosis
"constipation, pain during bowel movements, pain in anal region, bloody stool",Migraine
"acidity, ulcers on tongue, vomiting, cough, chest pain",Malaria
"muscle wasting, high fever, extra marital contacts,",Hypothyroidism
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Peptic ulcer diseae
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Hepatitis C
"joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis C
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Dengue
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Varicose veins
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Hypertension
"vomiting, headache, nausea, spinning movements, unsteadiness",hepatitis A
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Dengue
"itching, skin rash, burning micturition, spotting  urination",Jaundice
"stomach pain, acidity, ulcers on tongue, cough, chest pain",Hepatitis D
"itching, skin rash, dischromic  patches,",Tuberculosis
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Hepatitis E
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",(vertigo) Paroymsal  Positional Vertigo
"skin rash, pus filled pimples, blackheads,",Psoriasis
"itching, skin rash, stomach pain, burning micturition",Hepatitis E
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Dimorphic hemmorhoids(piles)
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Hypothyroidism
"burning micturition, bladder discomfort, foul smell of urine,",Psoriasis
"chills, vomiting, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Pneumonia
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Jaundice
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Hepatitis D
"skin rash, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Psoriasis
"itching, skin rash, stomach pain, spotting  urination",GERD
"constipation, pain during bowel movements, bloody stool, irritation in anus",Paralysis (brain hemorrhage)
"stomach pain, ulcers on tongue, vomiting, cough, chest pain",Impetigo
"constipation, pain during bowel movements, bloody stool, irritation in anus",Typhoid
"chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"acidity, ulcers on tongue, vomiting, cough, chest pain",Hypertension
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Malaria
"constipation, pain during bowel movements, pain in anal region, irritation in anus",Hepatitis E
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Malaria
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Diabetes
"continuous sneezing, chills, fatigue, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Peptic ulcer diseae
"joint pain, neck pain, knee pain, hip joint pain, painful walking",GERD
"chills, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Common Cold
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",AIDS
"joint pain, neck pain, hip joint pain, swelling joints, painful walking",Arthritis
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Common Cold
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Hepatitis C
"skin rash, blackheads, scurring,",Drug Reaction
"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, mild fever, yellowing of eyes, muscle pain,",Typhoid
"fatigue, yellowish skin, nausea, loss of appetite, family history",(vertigo) Paroymsal  Positional Vertigo
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",GERD
"vomiting, breathlessness, chest pain,","Chronic cholestasis,"
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Fungal infection
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Drug Reaction
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain,",Common Cold
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Hypertension
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",AIDS
"skin rash, pus filled pimples, scurring,",Hepatitis C
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Typhoid
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Hypothyroidism
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Hypertension
"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, diarrhoea, mild fever, yellowing of eyes, muscle pain,",Hepatitis E
"continuous sneezing, chills, watering from eyes,",hepatitis A
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Drug Reaction
"muscle wasting, high fever, extra marital contacts,",Tuberculosis
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Jaundice
"vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis C
"pus filled pimples, blackheads, scurring,",Bronchial Asthma
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history,",Hepatitis C
"muscle wasting, patches in throat, high fever, extra marital contacts",Urinary tract infection
"itching, stomach pain, burning micturition, spotting  urination","Chronic cholestasis,"
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Dengue
"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Hypertension
"patches in throat, high fever, extra marital contacts,",Common Cold
"itching, skin rash, stomach pain, burning micturition",Arthritis
"joint pain, neck pain, knee pain, swelling joints, painful walking",(vertigo) Paroymsal  Positional Vertigo
"headache, chest pain, dizziness, loss of balance, lack of concentration",Dimorphic hemmorhoids(piles)
"itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hypothyroidism
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Drug Reaction
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Fungal infection
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Allergy
